answer,clue
GLYCOSIDE,'a group of compounds derived from monosaccharides'
TERRY,'a pile fabric (usually cotton) with uncut loops on both sides
WOODINESS,'the quality of abounding in trees'
PUTTING,'hitting a golf ball that is on the green using a putter
EURYPTERID,'large extinct scorpion-like arthropod considered related to horseshoe crabs'
MOREEN,'a heavy fabric of wool (or wool and cotton) used mostly in upholstery or for curtains'
COORDINATION,'the skillful and effective interaction of movements'
YEARNER,'a person with a strong desire for something
BUFFOONERY,'acting like a clown or buffoon'
ARCANUM,'information known only to a special group
BROWALLIA,'any of several herbs of the genus Browallia cultivated for their blue or violet or white flowers'
BIOFLAVINOID,'a vitamin that maintains the resistance of cell and capillary walls to permeation'
METHAQUALONE,'sedative-hypnotic drug (trade name Quaalude) that is a drug of abuse'
PROTHALAMIUM,'a song in celebration of a marriage'
INCAUTION,'the trait of forgetting or ignoring possible danger'
BARKEEPER,'an employee who mixes and serves alcoholic drinks at a bar'
NONFICTION,'prose writing that is not fictional'
TELESELLING,'the use of the telephone as an interactive medium for promotion and sales'
CRUPPER,'a strap from the back of a saddle passing under the horse\'s tail
BABBITTING,'lining a surface or bearing with Babbitt metal'
LOUDMOUTH,'a person who causes trouble by speaking indiscreetly'
HAZELWOOD,'reddish-brown wood and lumber from heartwood of the sweet gum tree used to make furniture'
ACTINOLITE,'a green mineral of the amphibole group
PENTAHEDRON,'any polyhedron having five plane faces'
RECESSIONAL,'a hymn that is sung at the end of a service as the clergy and choir withdraw'
BEGGAR,'a pauper who lives by begging'
EVENSONG,'the sixth of the seven canonical hours of the divine office
ACID,'street name for lysergic acid diethylamide'
FIBROSITY,'the quality of being fibrous'
KACHINA,'a deified spirit of the Pueblo people'
BAGGAGE,'cases used to carry belongings when traveling'
PRECAVA,'receives blood from the head and arms and chest and empties into the right atrium of the heart
FREEMASONRY,'a natural or instinctive fellowship between people of similar interests
SUBALTERN,'a British commissioned army officer below the rank of captain'
SPACING,'the time between occurrences of a repeating event
LOOP,'fastener consisting of a metal ring for lining a small hole to permit the attachment of cords or lines'
MUTAGEN,'any agent (physical or environmental) that can induce a genetic mutation or can increase the rate of mutation'
ACICULA,'a needlelike part or structure of a plant or animal or crystal
KHOUM,'5 khoums equal 1 ouguiya in Mauritania'
PRAENOMEN,'the first name of a citizen of ancient Rome'
BITEPLATE,'a removable dental appliance that is worn in the palate for diagnostic or therapeutic purposes'
TWOPENCE,'a former United Kingdom silver coin
LIMITED,'public transport consisting of a fast train or bus that makes only a few scheduled stops
ACCOUTERMENT,but not part of your main clothing'
LETTER,'a written message addressed to a person or organization
SNOOD,'an ornamental net in the shape of a bag that confines a woman\'s hair
BURNER,'an apparatus for burning fuel (or refuse)
CONSULATE,'diplomatic building that serves as the residence or workplace of a consul'
PHYSIOGRAPHY,'the study of physical features of the earth\'s surface'
FETTER,'a shackle for the ankles or feet'
PONYTAIL,'a hair style that draws the hair back so that it hangs down in back of the head like a pony\'s tail'
EPILATOR,'a cosmetic for temporary removal of undesired hair'
FOUNDATION,'the basis on which something is grounded
VINEGARINESS,'a sourness resembling that of vinegar'
WEKA,'flightless New Zealand rail of thievish disposition having short wings each with a spur used in fighting'
OCTAVO,'the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves'
MARKUP,'the amount added to the cost to determine the asking price'
WOODCUTTER,'cuts down trees and chops wood as a job'
GREYHOUND,'a tall slender dog of an ancient breed noted for swiftness and keen sight
GRAYLAG,'common grey wild goose of Europe
PRICE,'the property of having material worth (often indicated by the amount of money something would bring if sold)
FUNICLE,'the stalk of a plant ovule or seed'
DEMEANOUR,'(behavioral attributes) the way a person behaves toward other people'
REAPER,'someone who helps to gather the harvest'
HOUDAH,'a (usually canopied) seat for riding on the back of a camel or elephant'
DAMPENING,'the act of making something slightly wet'
INHUMATION,'the ritual placing of a corpse in a grave'
BROOD,'the young of an animal cared for at one time'
POTION,'a medicinal or magical or poisonous beverage'
IMPULSION,'the act of applying force suddenly
ITINERATION,'journeying from place to place preaching or lecturing
TIGON,'offspring of a male tiger and a female lion'
OXEYE,'an oval or round dormer window'
COTTONWEED,'an American everlasting having foliage with soft wooly hairs and corymbose heads with pearly white bracts'
BERYL,'the chief source of beryllium
TRANSIENCY,'an impermanence that suggests the inevitability of ending or dying'
CALCITE,'a common mineral consisting of crystallized calcium carbonate
ETAMIN,'a soft cotton or worsted fabric with an open mesh
SUPPORTER,'someone who supports or champions something'
TEMPORAL,'the semantic role of the noun phrase that designates the time of the state or action denoted by the verb'
MAMMON,'wealth regarded as an evil influence'
TRIAL,'the act of testing something
APIARY,'a shed containing a number of beehives'
DIVAN,'a long backless sofa (usually with pillows against a wall)'
SHOPLIFTER,'a thief who steals goods that are in a store'
SAXIST,'a musician who plays the saxophone'
CODETALKER,'a secret agent who was one of the Navajos who devised and used a code based on their native language
PASSAGEWAY,'a passage between rooms or between buildings'
HEROIC,'a verse form suited to the treatment of heroic or elevated themes
ROTENONE,'a white crystalline insecticide that has low toxicity for mammals
CALENDAR,'a system of timekeeping that defines the beginning and length and divisions of the year'
MANHATTAN,'a cocktail made with whiskey and sweet vermouth with a dash of bitters'
COSMOLOGY,'the metaphysical study of the origin and nature of the universe'
PUNKIE,'minute two-winged insect that sucks the blood of mammals and birds and other insects'
PTYALITH,'calculus in a salivary gland'
SPANIEL,'any of several breeds of small to medium-sized gun dogs with a long silky coat and long frilled ears'
STOLIDITY,'an indifference to pleasure or pain'
KAPEIKA,'100 kapeikas equal 1 rubel in Belarus'
GRADER,'a judge who assigns grades to something'
TREY,'one of four playing cards in a deck having three pips'
ACOREA,'absence of the pupil in an eye'
CHEATING,'a deception for profit to yourself'
COLONY,'a body of people who settle far from home but maintain ties with their homeland
PADRONE,'an owner or proprietor of an inn in Italy'
OCULIST,'a medical doctor specializing in the diagnosis and treatment of diseases of the eye'
REVELATION,'an enlightening or astonishing disclosure'
FLAGELLANT,'a person who whips himself as a religious penance'
DEFILER,'a person or organization that causes pollution of the environment'
FLYBRIDGE,'the highest navigational bridge on a ship
PITON,'a metal spike with a hole for a rope
SHEEPHERDER,'a herder of sheep (on an open range)
PIBGORN,'an ancient (now obsolete) single-reed woodwind
TYRANNOSAUR,'large carnivorous bipedal dinosaur having enormous teeth with knifelike serrations
HYSTERECTOMY,'surgical removal of the uterus'
PTERYGIUM,'either of two thickened triangular layers of conjunctiva extending from the nasal edge of the eye to the cornea
ADAPTION,'the process of adapting to something (such as environmental conditions)'
PAPILLON,'small slender toy spaniel with erect ears and a black-spotted brown to white coat'
HOLLOA,'a very loud utterance (like the sound of an animal)
ANNON,'sweet pulpy tropical fruit with thick scaly rind and shiny black seeds'
KNIPHOFIA,'a plant of the genus Kniphofia having long grasslike leaves and tall scapes of red or yellow drooping flowers'
AMYLOIDOSIS,'a disorder characterized by deposit of amyloid in organs or tissues
SOFTIE,'a person who is weak and excessively sentimental'
CALENDULA,'any of numerous chiefly annual herbs of the genus Calendula widely cultivated for their yellow or orange flowers
SATANG,'100 satangs equal 1 baht in Thailand'
ARBORVITAE,'any of several Asian and North American conifers of the genera Thuja and Thujopsis'
JUNKYARD,'a field where junk is collected and stored for resale'
INVARIANT,'a feature (quantity or property or function) that remains unchanged when a particular transformation is applied to it'
CARAVANSARY,'an inn in some eastern countries with a large courtyard that provides accommodation for caravans'
HATRED,'the emotion of intense dislike
WISTERIA,'any flowering vine of the genus Wisteria'
DIERESIS,'a diacritical mark (two dots) placed over a vowel to indicate that it does not form a diphthong with an adjacent vowel'
GEAN,'wild or seedling sweet cherry used as stock for grafting'
RATTAN,'a switch made from the stems of the rattan palms'
PAGING,'the system of numbering pages'
FRITILLARY,'butterfly with brownish wings marked with black and silver'
CROAK,'a harsh hoarse utterance (as of a frog)'
REREDOS,'a painted or carved screen placed above and behind an altar or communion table'
URGING,'the act of earnestly supporting or encouraging'
FACILITATION,'the condition of being made easy (or easier)
CRYSTAL,'a solid formed by the solidification of a chemical and having a highly regular atomic structure'
PAYLOAD,'goods carried by a large vehicle'
SEEKER,'someone making a search or inquiry
SUGARBERRY,'deciduous shade tree with small black berries
ORANG,'large long-armed ape of Borneo and Sumatra having arboreal habits'
DISCUS,'a disk used in throwing competitions'
